iter	Passed	Remaining
399	65528	21132
400	65679	20965
401	65851	20803
402	66020	20641
403	66195	20481
404	66364	20319
405	66519	20152
406	66675	19986
407	66848	19825
408	67021	19664
409	67198	19503
410	67368	19341
411	67533	19178
412	67694	19013
413	67843	18845
414	68010	18682
415	68185	18521
416	68351	18358
417	68522	18196
418	68682	18031
419	68851	17868
420	69008	17702
421	69146	17532
422	69307	17367
423	69494	17209
424	69670	17048
425	69827	16883
426	69979	16716
427	70161	16556
428	70357	16400
429	70534	16239
430	70700	16075
431	70852	15909
432	70994	15740
433	71145	15573
434	71300	15407
435	71456	15241
436	71627	15079
437	71809	14919
438	71965	14753
439	72113	14586
440	72271	14421
441	72430	14256
442	72600	14093
443	72776	13932
444	72933	13767
445	73102	13604
446	73252	13437
447	73421	13274
448	73588	13111
449	73757	12948
450	73906	12782
451	74071	12618
452	74234	12454
453	74401	12290
454	74580	12129
455	74737	11964
456	74914	11802
457	75087	11640
458	75247	11475
459	75409	11311
460	75582	11148
461	75753	10985
462	75883	10817
463	76063	10655
464	76236	10492
465	76387	10327
466	76541	10161
467	76696	9996
468	76852	9831
469	77015	9667
470	77170	9502
471	77336	9339
472	77496	9175
473	77663	9011
474	77817	8846
475	77982	8682
476	78150	8519
477	78324	8356
478	78482	8192
479	78635	8027
480	78804	7864
481	78974	7700
482	79149	7538
483	79326	7375
484	79492	7211
485	79659	7048
486	79832	6884
487	79992	6720
488	80165	6557
489	80336	6394
490	80503	6230
491	80659	6065
492	80819	5901
493	80982	5737
494	81139	5573
495	81319	5410
496	81487	5246
497	81664	5083
498	81818	4918
499	81982	4754
500	82145	4590
501	82323	4427
502	82490	4263
503	82664	4100
504	82841	3937
505	83023	3773
506	83187	3609
507	83366	3446
508	83540	3282
509	83714	3118
510	83872	2954
511	84044	2790
512	84212	2626
513	84383	2462
514	84562	2298
515	84720	2134
516	84899	1970
517	85078	1806
518	85250	1642
519	85420	1478
520	85573	1313
521	85739	1149
522	85888	985
523	86063	821
524	86223	656
525	86399	492
526	86564	328
527	86730	164
528	86900	0
