iter	Logloss
295	0.6828607579
296	0.6828518784
297	0.6828489472
298	0.6828468078
299	0.6828434358
300	0.6828390896
301	0.6828366119
302	0.6828333552
303	0.6828312685
304	0.6828259497
305	0.6828222379
306	0.6828185332
307	0.6828144359
308	0.6828113691
309	0.6828083617
310	0.68279523
311	0.6827921187
312	0.6827896289
313	0.6827820205
314	0.6827782475
315	0.6827728935
316	0.6827662875
317	0.6827633465
318	0.6827586882
319	0.6827561058
320	0.6827502103
321	0.6827464446
322	0.6827440344
323	0.6827378447
324	0.6827354188
325	0.6827320194
326	0.6827301367
327	0.6827277354
328	0.6827234991
329	0.6827201289
330	0.6827172575
331	0.6827141602
332	0.6827111751
333	0.6827061697
334	0.682702361
335	0.6826957384
336	0.6826932684
337	0.6826915822
338	0.6826878577
339	0.6826842746
340	0.6826818163
341	0.6826795419
342	0.6826757426
343	0.6826730329
344	0.6826715925
345	0.6826668245
346	0.6826636614
347	0.6826609499
348	0.6826578389
349	0.6826551756
350	0.6826521692
351	0.6826500673
352	0.6826482996
353	0.6826456525
354	0.6826425327
355	0.6826395149
356	0.6826374597
357	0.6826345452
358	0.6826314602
359	0.6826290497
360	0.6826245075
361	0.6826202979
362	0.6826176731
363	0.6826150744
364	0.6826124289
365	0.6826092858
366	0.6826071919
367	0.6826016832
368	0.6825993261
369	0.6825952395
370	0.6825921943
371	0.6825894131
372	0.6825820151
373	0.682580609
374	0.682578382
375	0.6825755628
376	0.6825725494
377	0.6825685804
378	0.682566815
379	0.6825650767
380	0.6825609874
381	0.6825553702
382	0.6825510668
383	0.6825483734
384	0.6825429752
385	0.6825410854
386	0.6825387087
387	0.682536141
388	0.6825313224
389	0.6825288903
390	0.6825275864
391	0.6825243096
392	0.6825203377
393	0.6825180494
394	0.6825153847
395	0.6825129776
396	0.6825117117
397	0.6825092527
398	0.6825078204
399	0.682504584
400	0.6825026109
401	0.682500326
402	0.6824965376
403	0.6824941171
404	0.6824919397
405	0.6824890838
406	0.6824866868
407	0.6824836743
408	0.6824802378
409	0.6824723801
410	0.6824697031
411	0.6824673599
412	0.6824651044
